run,type,module,name,attrname,attrvalue,value
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,configname,C2CEpidemic,
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,datetime,20200622-19:44:07,
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,experiment,C2CEpidemic,
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,inifile,omnetpp.ini,
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,iterationvars,,
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,iterationvarsf,,
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,measurement,,
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,network,ned.Network,
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,processid,2344,
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,repetition,0,
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,replication,#0,
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,resultdir,results,
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,runnumber,0,
C2CEpidemic-0-20200622-19:44:07-2344,runattr,,,seedset,0,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,**.**.applType,"""C2C_Epidemic""",
C2CEpidemic-0-20200622-19:44:07-2344,param,,,.V[*].appl.speed,22mps,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.V[*].appl.plist_Interval,0.5s,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.V[*].appl.beacon_Interval,1s,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.V[*].appl.message_Lost,0.05,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.playgroundSizeX,25000m,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.playgroundSizeY,25000m,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.playgroundSizeZ,50m,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.annotations.draw,true,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.obstacles.obstacles,"xmldoc(""sumo/config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.manager.updateInterval,1s,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.manager.host,"""localhost""",
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.manager.port,9999,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.manager.moduleType,"""ned.VNode""",
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.manager.moduleName,"""V""",
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.manager.moduleDisplayString,"""""",
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.manager.autoShutdown,true,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.manager.margin,25,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.manager.launchConfig,"xmldoc(""sumo/erlangen.launchd.xml"")",
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.connectionManager.sendDirect,true,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.connectionManager.maxInterfDist,2600m,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.connectionManager.drawMaxIntfDist,false,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.**.nic.mac1609_4.useServiceChannel,false,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.**.nic.mac1609_4.txPower,20mW,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.**.nic.phy80211p.minPowerLevel,-110dBm,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.**.nic.phy80211p.useNoiseFloor,true,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.**.nic.phy80211p.noiseFloor,-98dBm,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.**.nic.phy80211p.decider,"xmldoc(""sumo/config.xml"")",
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""sumo/config.xml"")",
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.**.nic.phy80211p.usePropagationDelay,true,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,*.**.nic.phy80211p.antenna,"xmldoc(""sumo/antenna.xml"", ""/root/Antenna[@id='monopole']"")",
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.numCA,1,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.numRSU,1,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.numV,0,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,**.applType,"""VAppl""",
C2CEpidemic-0-20200622-19:44:07-2344,param,,,**.appl.headerLength,18400 bit,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.CA[*].appl.InitialWait,0,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.CA[*].appl.CRLsize,1000,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.CA[*].appl.EnableShuffle,true,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.CA[*].appl.NoSegments,20,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.CA[*].appl.Pseudonym_lifeTime,120s,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.RSU[*].appl.beacon_Interval,1s,
C2CEpidemic-0-20200622-19:44:07-2344,param,,,Network.RSU[*].appl.CRL_Interval,20s,
