run,type,module,name,attrname,attrvalue,value
SCRLE-0-20200623-00:01:44-5169,runattr,,,configname,SCRLE,
SCRLE-0-20200623-00:01:44-5169,runattr,,,datetime,20200623-00:01:44,
SCRLE-0-20200623-00:01:44-5169,runattr,,,experiment,SCRLE,
SCRLE-0-20200623-00:01:44-5169,runattr,,,inifile,omnetpp.ini,
SCRLE-0-20200623-00:01:44-5169,runattr,,,iterationvars,,
SCRLE-0-20200623-00:01:44-5169,runattr,,,iterationvarsf,,
SCRLE-0-20200623-00:01:44-5169,runattr,,,measurement,,
SCRLE-0-20200623-00:01:44-5169,runattr,,,network,ned.Network,
SCRLE-0-20200623-00:01:44-5169,runattr,,,processid,5169,
SCRLE-0-20200623-00:01:44-5169,runattr,,,repetition,0,
SCRLE-0-20200623-00:01:44-5169,runattr,,,replication,#0,
SCRLE-0-20200623-00:01:44-5169,runattr,,,resultdir,results,
SCRLE-0-20200623-00:01:44-5169,runattr,,,runnumber,0,
SCRLE-0-20200623-00:01:44-5169,runattr,,,seedset,0,
SCRLE-0-20200623-00:01:44-5169,param,,,**.**.applType,"""SCRLE""",
SCRLE-0-20200623-00:01:44-5169,param,,,*.V[*].appl.speed,22mps,
SCRLE-0-20200623-00:01:44-5169,param,,,*.V[*].appl.plist_Interval,0.5s,
SCRLE-0-20200623-00:01:44-5169,param,,,*.V[*].appl.beacon_Interval,1s,
SCRLE-0-20200623-00:01:44-5169,param,,,*.V[*].appl.message_Lost,0.06,
SCRLE-0-20200623-00:01:44-5169,param,,,*.playgroundSizeX,25000m,
SCRLE-0-20200623-00:01:44-5169,param,,,*.playgroundSizeY,25000m,
SCRLE-0-20200623-00:01:44-5169,param,,,*.playgroundSizeZ,50m,
SCRLE-0-20200623-00:01:44-5169,param,,,*.annotations.draw,true,
SCRLE-0-20200623-00:01:44-5169,param,,,*.obstacles.obstacles,"xmldoc(""sumo/config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",
SCRLE-0-20200623-00:01:44-5169,param,,,Network.manager.updateInterval,1s,
SCRLE-0-20200623-00:01:44-5169,param,,,Network.manager.host,"""localhost""",
